id,order_id,order_total,restaurant_name,order_time,rain_mode,on_time
1,1.27143E+11,463,A2B Veg,05-02-2022,0,1
2,1.27077E+11,252,Firangi Bake,05-02-2022,0,1
3,1.26889E+11,190,The Table,02-02-2022,0,1
4,1.25669E+11,258,Sree gupta bhavan,19-01-2022,0,0
5,1.25302E+11,194,Idlies,15-01-2022,0,1
6,1.24553E+11,320,Shyam's Bombay Halwa House,06-01-2022,0,0
7,1.21959E+11,304,The Bowl Company,07-12-2021,0,1
8,1.20314E+11,169,Super Munch,18-11-2021,2,1
9,1.19285E+11,212,Mansukh's Sweets and Snacks,06-11-2021,5,1
10,1.18675E+11,336,KFC,30-10-2021,0,1
11,1.18595E+11,752,The Chopstix- Kk Nagar,29-10-2021,0,0
12,1.18508E+11,661,Sabarees Veg Restaurant,28-10-2021,0,1
13,1.18167E+11,212,Lassi House,24-10-2021,2,1
14,1.17183E+11,407,Subway,13-10-2021,0,0
15,1.1684E+11,1139,The Bowl Company,09-10-2021,0,1
16,1.16755E+11,809,Faasos,08-10-2021,0,0
17,1.1669E+11,1053,McDonald's,07-10-2021,0,1
18,1.16667E+11,894,LunchBox,07-10-2021,0,1
19,1.14172E+11,174,Drunken Monkey,08-09-2021,0,1
20,1.1151E+11,224,Sangeetha's Desi Mane,08-08-2021,0,0
21,1.11332E+11,108,Mansukh's Sweets and Snacks,06-08-2021,0,0
22,1.10902E+11,194,Sangeetha's Desi Mane,01-08-2021,0,1
23,1.09947E+11,204,The Sandwich Shop 2.0,21-07-2021,0,1
24,1.0952E+11,293,Faasos,16-07-2021,0,0
25,1.07186E+11,179,The Belgian Waffle Co.,19-06-2021,0,0
26,1.0701E+11,133,The Thickshake Factory,17-06-2021,0,1
27,1.04678E+11,655,Amelie's Cafe & Creamery,21-05-2021,0,0
28,1.04594E+11,194,The Table,20-05-2021,0,0
29,1.0399E+11,353,The Table,13-05-2021,0,1
30,1.03899E+11,688,Kamakshi Mess,12-05-2021,0,0
31,1.0209E+11,368,The Bowl Company,21-04-2021,0,0
32,1.0157E+11,271,Bakya Veg Restaurant,15-04-2021,0,1
33,96303387993,193,The Belgian Waffle Co.,13-02-2021,0,1
34,93259245959,164,The Bowl Company,09-01-2021,0,1
35,90174208184,158,Roll Over,04-12-2020,0,1
36,88437200793,406,Domino's Pizza,14-11-2020,0,1
37,86796819721,190,Moonlight Takeaway & Delivery,26-10-2020,0,1
38,86796243798,209,Domino's Pizza,26-10-2020,0,0
39,85503629718,344,Domino's Pizza,11-10-2020,0,0
40,85413036372,401,The Bowl Company,10-10-2020,0,1
41,83594429748,133,The Bowl Company,19-09-2020,0,0
42,66209518020,153,The Bowl Company,02-03-2020,0,0
43,65256281802,137,LunchBox,20-02-2020,0,0
44,65030558417,102,Richy Rich Ice Creams,17-02-2020,0,0
45,64919239494,160,HOTEL ANANDHA BHAVAN (Imperial Road),16-02-2020,0,0
46,64337605340,374,HOTEL ANANDHA BHAVAN (Imperial Road),09-02-2020,0,0
47,63528835993,502,The Bowl Company,31-01-2020,0,1
